beds,baths,size,size_units,lot_size,lot_size_units,zip_code,latitudes,longitudes,price
3,2.5,1631.0,sqft,1485.0,sqft,98103,47.6733,-122.3426,1049950.0
4,3.5,2400.0,sqft,3060.0,sqft,98103,47.6733,-122.3426,1750000.0
4,2.5,1910.0,sqft,3000.0,sqft,98103,47.6733,-122.3426,1625000.0
2,1.5,1070.0,sqft,1726.0,sqft,98103,47.6733,-122.3426,850000.0
3,3.5,1800.0,sqft,1563.0,sqft,98103,47.6733,-122.3426,1050000.0
4,3.5,2304.0,sqft,4503.0,sqft,98103,47.6733,-122.3426,1550000.0
5,3.0,2360.0,sqft,2833.0,sqft,98103,47.6733,-122.3426,1240000.0
4,3.0,1900.0,sqft,2256.0,sqft,98103,47.6733,-122.3426,1150000.0
2,2.0,724.0,sqft,5400.0,sqft,98103,47.6733,-122.3426,430000.0
3,3.5,1740.0,sqft,5000.0,sqft,98103,47.6733,-122.3426,1020000.0
4,3.5,1835.0,sqft,1750.0,sqft,98103,47.6733,-122.3426,1299950.0
3,5.5,1530.0,sqft,1336.0,sqft,98103,47.6733,-122.3426,635000.0
2,1.0,650.0,sqft,3780.0,sqft,98103,47.6733,-122.3426,708888.0
4,2.0,1345.0,sqft,2808.0,sqft,98103,47.6733,-122.3426,962000.0
3,2.5,2490.0,sqft,5757.0,sqft,98103,47.6733,-122.3426,935625.0
2,2.5,1448.0,sqft,0.54,acre,98103,47.6733,-122.3426,1325000.0
2,4.5,1840.0,sqft,1500.0,sqft,98103,47.6733,-122.3426,1049000.0
3,3.0,1410.0,sqft,1316.0,sqft,98103,47.6733,-122.3426,1200000.0
3,2.5,1570.0,sqft,1342.0,sqft,98103,47.6733,-122.3426,700000.0
4,3.0,2860.0,sqft,4182.0,sqft,98103,47.6733,-122.3426,1600000.0
2,1.5,889.0,sqft,0.23,acre,98103,47.6733,-122.3426,680000.0
2,1.0,1290.0,sqft,1875.0,sqft,98103,47.6733,-122.3426,640000.0
2,1.5,1070.0,sqft,1569.0,sqft,98103,47.6733,-122.3426,849950.0
2,3.5,2080.0,sqft,1412.0,sqft,98103,47.6733,-122.3426,1495000.0
