zip_code,latitudes,longitudes
98101,47.6114,-122.3305
98101,47.6114,-122.3305
98101,47.6114,-122.3305
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98102,47.6302,-122.321
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98103,47.6733,-122.3426
