beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,lat,lon
3,2.5,1820,sqft,176418.0,sqft,98118,690000,47.5412,-122.275
4,4.0,3040,sqft,4000.0,sqft,98119,1585000,47.6379,-122.3643
3,2.0,1800,sqft,6180.0,sqft,98118,936000,47.5412,-122.275
3,3.0,1450,sqft,525.0,sqft,98117,750000,47.6873,-122.3772
4,2.0,2400,sqft,5400.0,sqft,98119,1385000,47.6379,-122.3643
4,3.5,3057,sqft,7650.0,sqft,98117,1800000,47.6873,-122.3772
4,4.0,3142,sqft,6000.0,sqft,98119,1600000,47.6379,-122.3643
3,1.0,1050,sqft,3750.0,sqft,98106,399950,47.5344,-122.3547
3,2.0,1720,sqft,5000.0,sqft,98199,855000,47.6488,-122.3964
3,3.5,2650,sqft,8500.0,sqft,98136,1095000,47.5398,-122.3878
2,1.5,2680,sqft,6000.0,sqft,98102,1125000,47.6302,-122.321
4,2.5,2550,sqft,5000.0,sqft,98115,1560000,47.6849,-122.2968
9,4.0,3800,sqft,6000.0,sqft,98116,1343000,47.5746,-122.3934
4,2.0,1910,sqft,6000.0,sqft,98168,630000,47.4889,-122.3012
2,1.0,773,sqft,10890.0,sqft,98133,360000,47.7377,-122.3431
4,3.5,2661,sqft,4081.0,sqft,98108,1165000,47.5413,-122.3129
4,3.0,2250,sqft,5250.0,sqft,98115,1150000,47.6849,-122.2968
4,1.5,2080,sqft,5000.0,sqft,98116,950000,47.5746,-122.3934
3,3.5,1370,sqft,982.0,sqft,98117,699500,47.6873,-122.3772
1,1.0,699,sqft,186001.19999999998,sqft,98115,335000,47.6849,-122.2968
2,3.0,1840,sqft,9420.0,sqft,98125,800000,47.717,-122.3015
4,3.5,3040,sqft,16988.4,sqft,98177,1495000,22.7912,-102.632
5,8.5,3110,sqft,4455.0,sqft,98115,1606500,47.6849,-122.2968
2,2.0,1147,sqft,564.0,sqft,98115,749950,47.6849,-122.2968
2,2.5,1538,sqft,900.0,sqft,98105,895000,47.6633,-122.3022
2,1.0,1480,sqft,4600.0,sqft,98126,720000,47.5444,-122.3735
2,2.0,866,sqft,649.0,sqft,98107,555000,47.6701,-122.3763
4,3.5,2000,sqft,1532.0,sqft,98115,870000,47.6849,-122.2968
3,3.5,1470,sqft,1375.0,sqft,98117,845000,47.6873,-122.3772
2,2.0,1840,sqft,5000.0,sqft,98122,1200000,47.6116,-122.3056
4,2.0,2230,sqft,5940.0,sqft,98125,925000,47.717,-122.3015
2,1.5,1290,sqft,1332.0,sqft,98115,795000,47.6849,-122.2968
1,1.0,630,sqft,10454.4,sqft,98146,459000,47.4995,-122.3603
3,2.0,1880,sqft,3200.0,sqft,98144,911000,47.5846,-122.3005
2,1.5,1300,sqft,3146.0,sqft,98133,570288,47.7377,-122.3431
2,2.0,1071,sqft,67082.40000000001,sqft,98119,605000,47.6379,-122.3643
5,4.0,2810,sqft,5000.0,sqft,98103,1295000,47.6733,-122.3426
4,2.5,2400,sqft,3200.0,sqft,98109,1595000,47.6339,-122.3476
3,2.5,2734,sqft,4000.0,sqft,98109,1605200,47.6339,-122.3476
3,2.5,1670,sqft,1687.0,sqft,98117,865000,47.6873,-122.3772
3,3.0,1530,sqft,2260.0,sqft,98126,745000,47.5444,-122.3735
4,1.0,1720,sqft,2835.0,sqft,98122,543750,47.6116,-122.3056
3,1.0,1200,sqft,5786.0,sqft,98105,1099950,47.6633,-122.3022
5,3.0,2030,sqft,5046.0,sqft,98144,905000,47.5846,-122.3005
3,2.0,2370,sqft,4865.0,sqft,98126,1200000,47.5444,-122.3735
3,1.5,1720,sqft,3825.0,sqft,98117,825000,47.6873,-122.3772
1,1.0,813,sqft,10454.4,sqft,98121,680000,47.6151,-122.3447
3,2.0,1590,sqft,8937.0,sqft,98106,720000,47.5344,-122.3547
2,1.0,840,sqft,4000.0,sqft,98108,489000,47.5413,-122.3129
5,2.5,2870,sqft,8741.0,sqft,98168,520000,47.4889,-122.3012
2,1.5,994,sqft,1494.0,sqft,98106,580000,47.5344,-122.3547
3,2.0,1630,sqft,6000.0,sqft,98168,630000,47.4889,-122.3012
3,2.0,1806,sqft,4400.0,sqft,98126,799000,47.5444,-122.3735
4,2.5,3060,sqft,4590.0,sqft,98115,1450000,47.6849,-122.2968
5,3.5,3820,sqft,7200.0,sqft,98118,1350000,47.5412,-122.275
3,2.5,2350,sqft,7200.0,sqft,98115,1582800,47.6849,-122.2968
3,2.5,2080,sqft,9880.0,sqft,98117,977000,47.6873,-122.3772
3,1.0,1000,sqft,5960.0,sqft,98118,710000,47.5412,-122.275
2,1.5,1131,sqft,43560.0,sqft,98144,685000,47.5846,-122.3005
4,3.0,2230,sqft,9625.0,sqft,98178,1205000,47.4924,-122.2359
5,3.0,3130,sqft,5750.0,sqft,98122,2095000,47.6116,-122.3056
5,3.0,3750,sqft,5000.0,sqft,98107,1580000,47.6701,-122.3763
2,2.0,1720,sqft,5000.0,sqft,98116,985000,47.5746,-122.3934
3,2.0,1286,sqft,870.0,sqft,98136,738000,47.5398,-122.3878
2,1.0,1422,sqft,3399.0,sqft,98117,715000,47.6873,-122.3772
4,3.5,3956,sqft,12632.4,sqft,98125,3200000,47.717,-122.3015
6,5.0,3620,sqft,5500.0,sqft,98119,1420000,47.6379,-122.3643
3,1.5,1370,sqft,6556.0,sqft,98178,659950,47.4924,-122.2359
2,3.0,1824,sqft,16117.199999999999,sqft,98101,2458000,47.6114,-122.3305
4,2.0,2370,sqft,5000.0,sqft,98115,1350000,47.6849,-122.2968
4,2.5,2200,sqft,5146.0,sqft,98106,825000,47.5344,-122.3547
6,3.0,3020,sqft,32670.0,sqft,98178,775000,47.4924,-122.2359
5,3.0,3400,sqft,18730.8,sqft,98168,756500,47.4889,-122.3012
3,1.0,1660,sqft,4349.0,sqft,98115,749900,47.6849,-122.2968
4,2.0,2080,sqft,7200.0,sqft,98178,675000,47.4924,-122.2359
2,1.0,900,sqft,6150.0,sqft,98126,480000,47.5444,-122.3735
4,4.5,3960,sqft,7025.0,sqft,98144,2485000,47.5846,-122.3005
5,3.5,3310,sqft,6328.0,sqft,98115,1575000,47.6849,-122.2968
1,1.0,621,sqft,13503.6,sqft,98133,289900,47.7377,-122.3431
4,2.0,1910,sqft,5166.0,sqft,98106,685000,47.5344,-122.3547
3,2.5,1563,sqft,1950.0,sqft,98118,839950,47.5412,-122.275
5,3.5,3340,sqft,10454.4,sqft,98106,980000,47.5344,-122.3547
4,3.0,2390,sqft,3600.0,sqft,98119,1300000,47.6379,-122.3643
2,1.5,1131,sqft,43560.0,sqft,98144,670000,47.5846,-122.3005
2,2.0,1201,sqft,720.0,sqft,98103,699950,47.6733,-122.3426
3,3.0,1940,sqft,5000.0,sqft,98199,450000,47.6488,-122.3964
2,1.0,1760,sqft,4625.0,sqft,98116,715000,47.5746,-122.3934
4,3.0,1680,sqft,3080.0,sqft,98117,905000,47.6873,-122.3772
2,2.0,1192,sqft,928.0,sqft,98103,719950,47.6733,-122.3426
4,4.0,2300,sqft,3589.0,sqft,98105,1440000,47.6633,-122.3022
3,2.5,2304,sqft,5000.0,sqft,98117,1100000,47.6873,-122.3772
